token,tf,df,tf-idf
光續,21,20,1.888466937481542
中方,24,20,1.8878733737232392
想要,22,21,1.8875510726724534
漲收,21,21,1.8873887847893434
資金面,22,20,1.8858408437667178
由紅翻,19,19,1.8856217377151319
矽創,22,18,1.8851001682119697
淨留,18,18,1.884986317614493
現貨逆價,17,17,1.8846495321659888
處理,29,23,1.8843106616587915
核心,25,24,1.8839199070222092
貨多單,21,19,1.8811179187933285
百餘點,19,19,1.8808079141781358
電大漲,22,21,1.880307129191995
物聯網,26,21,1.880206506266684
兩家,21,18,1.879462618238376
華晶科,23,23,1.8785828293639528
切勿,29,25,1.8774273980240077
亞系,20,12,1.8773136505461971
面向,26,25,1.8771571521035582
跌到,23,20,1.8743596534869764
漲類,21,21,1.8736323286408498
上周四,23,23,1.8726718753748326
不受,25,25,1.8707374561179837
戲碼,21,20,1.8695649205494016
首席,25,21,1.8694451181606608
億豐,20,18,1.8666661339651736
軟體,31,21,1.8654171101888228
孟晚,19,10,1.8653284408443536
鋼中,23,21,1.864932368061744
淨空單,23,19,1.8627560651441266
更好,20,19,1.861315942552843
檢附,24,24,1.8609345778063224
資主導,20,18,1.8606933508672572
及其,27,23,1.8602875868393238
王法,19,13,1.8600158607448274
假前,20,18,1.8581927305259545
正中,17,12,1.8558721057007546
數達家,20,11,1.855138400393645
泥統,18,16,1.8541583588258086
立場,23,21,1.853717118395607
勢則,20,20,1.8523769640235666
兩位,22,20,1.8521999499724822
期轉,23,23,1.851638839463033
將出,22,22,1.8515998642498341
發燒,19,17,1.8503141774794316
阿根廷,26,24,1.8499408675879079
下移,21,18,1.8491273506930408
第一款,65,26,1.848668963653482
自然,29,27,1.848484234981896
家族,23,16,1.84806571338093
前個,20,19,1.8479079469336317
股賣壓,21,21,1.8478024120557064
葉時安,17,17,1.8463559429523655
凌亂,20,20,1.8462715631319846
買點,24,19,1.844933757685243
當中以,21,21,1.844909943850006
現多頭,24,23,1.844620876256281
剛好,20,18,1.843001309024351
越過,22,22,1.8410946535845543
扣抵,24,19,1.840908440340499
祭出,22,22,1.8407826841846764
觀察類,18,18,1.8399359015026724
刪除,23,22,1.839889699687084
打算,18,18,1.8382973109014333
跌台,19,19,1.8377212719682972
中興,22,20,1.8371413301440183
電蘋果,17,17,1.8369745815017076
並收,22,21,1.8366542512067199
工廠,26,25,1.8366042330499421
金聯,16,15,1.8351105213857344
萬餘張,19,15,1.8346937933565035
中表現,22,22,1.8342260095799223
之遙,21,21,1.834168107943684
起伏,15,14,1.8334294844216914
臉辨識,19,17,1.8331272182354983
戰火,21,18,1.8324591550754117
研發,25,23,1.8312757108357836
初期,24,23,1.8310589384469997
發威,23,19,1.8306984428643185
億元及,21,21,1.830026561969578
憂慮,20,19,1.8295859221009472
下周一,22,21,1.8291127495199622
字頭,19,19,1.8289939750476483
條款,24,20,1.8282872743041987
股賣,20,20,1.8282322998497713
戰後續,19,16,1.8281414390736856
敲進,19,19,1.8277658823332164
黑色,21,19,1.8276917246187805
現價,18,16,1.8273031710980494
廖繼弘,21,17,1.8263247521851622
結賣,24,22,1.826123073059232
差異,25,24,1.8259416316641586
億元以,21,21,1.8250965520973628
光美律,18,15,1.8234037205463391
留強,23,23,1.8221530029178044
輕易,27,23,1.8207011721251738
得以,24,23,1.8205791231132027
電日,18,18,1.8204337713796146
出盤,20,20,1.8197643890844133
商台,17,15,1.8193491681925082
分鐘,21,17,1.8191307833459422
除非,25,25,1.818716869824463
失控,19,16,1.8183227438475478
股尾盤,21,20,1.818282099558655
跌股,19,19,1.8179597895364312
國際油,23,22,1.8179522519501277
比起,24,22,1.8166740918605022
閱讀,22,6,1.8159588273094665
資金輪動,22,21,1.815431733977739
陰影,20,19,1.8154226378460574
廣宇,21,19,1.8141049628942196
延長,21,18,1.8135193757649186
散熱,22,22,1.8113098190075425
反覆,20,20,1.8108599737257443
北美,25,24,1.8095675394025719
光富邦,19,14,1.809401680174574
強強,19,18,1.809364489540144
去年底,23,18,1.8093575444744046
泰全,19,12,1.808027677152188
航空,23,18,1.8068106537381197
巨個,61,21,1.8067652162182801
績效,22,14,1.8055998415046317
週五美股,22,21,1.8052151418878395
暢旺,22,22,1.8050192378605263
將成長,20,11,1.8046977342118014
歐買尬,21,19,1.804572985816349
中光,17,14,1.8032563487241278
擔任,20,19,1.8031281687423384
電跌,18,18,1.8024001668109517
休假,19,17,1.8019958856868925
康友,21,19,1.8014071754065029
談話,22,22,1.8008790552696947
火熱,19,19,1.8007486850060275
今晨,21,19,1.8000380417197344
年初,25,22,1.7994158727273897
千金,18,11,1.7990796513548606
萬人,24,16,1.7988959023249609
中下旬,22,19,1.7988045102073498
狀態,22,22,1.798397669436731
三年,25,21,1.798083057813459
各自,20,20,1.7974510924122815
封閉,19,17,1.797373310156201
月薪,26,12,1.7973450932120385
億光,23,22,1.7971431834125307
攻抵,20,18,1.7966934693361116
競爭力,27,23,1.7960995728909535
電個,68,28,1.793453319385091
日圓,22,17,1.7921289095790536
流動性,25,19,1.7912126538579733
跳水,20,20,1.7908398426554875
上路,24,19,1.7903412044682094
暫估,14,14,1.7902645786329998
惡化,24,22,1.7895327792796798
正達,22,20,1.7884925222024757
檔點,23,21,1.7863619012254068
數位,24,21,1.7853828247572563
矽晶圓及,23,21,1.7852004688452983
量產,19,18,1.785141517878931
光為,16,16,1.7847777982010367
第二根,20,18,1.7843326203691254
北京,23,19,1.7836843406440928
達到,27,25,1.7836671648189775
出台,22,22,1.782242634414519
取消,20,20,1.7804057975523486
投顧台,20,20,1.7802317581618587
說法,20,19,1.7795240032704782
回震盪,20,20,1.7785100610376101
電華,17,16,1.7780125426337552
股走勢,18,17,1.7775729558926514
數個,34,15,1.7774913666470216
股價開,18,18,1.776488643335433
金統,18,17,1.7758446273748825
修目,18,18,1.7751154758410401
審慎樂觀,20,20,1.7746060543415842
週台,22,18,1.774475176795927
萬台,18,8,1.7744594566438847
差距,20,19,1.7743847392598266
黑並,18,18,1.7736265253603878
簡威瑟,22,22,1.7733608913361079
師王兆立,14,14,1.7726087938163049
戰持續,25,24,1.7725341554467735
尾聲,20,19,1.7717765304497737
瞄準,22,22,1.77129859251161
光聯,19,19,1.7712083423289298
股萬點,21,20,1.771105965424587
抬下,19,19,1.7706149104144593
納入,18,15,1.770313048150414
停作收,23,22,1.7702799645579015
成立,29,25,1.7701067101499397
基亞,19,19,1.7690750462153635
單降,21,17,1.7687479555841614
發表新,20,20,1.7667144329318138
首見,23,23,1.7665813666414398
英利,20,17,1.7658301289407168
基板,21,19,1.7630615348438698
開在點,16,16,1.7620356545298823
打破,22,20,1.7618520583712924
泥亞,18,17,1.7616422704374748
億元來,18,10,1.7615943697674625
單傳聞,17,10,1.761588962076779
美晶,18,17,1.760941522268981
國偉,17,7,1.7592875344617913
指數僅,20,20,1.759132500108828
記錄,22,20,1.7590649270141447
日盤,19,16,1.7586948119184194
台揚,22,21,1.7584550086293258
強茂,21,20,1.757872283701565
短評,12,12,1.7568665043163028
外流,21,21,1.7562367749084473
神台,18,18,1.755357108945813
交所,29,21,1.7551949203960995
有關,23,23,1.7549037317452212
適時,24,22,1.754866960255234
美國稅,18,17,1.7536214222342437
穩日線,18,18,1.7516595034171478
美琪瑪,21,20,1.7508072201541829
鏡頭供,20,16,1.7504846160638745
晶電,23,21,1.7499015719734068
紡織類,20,18,1.7494371756040312
康達智,23,6,1.7494223612393103
上半,18,17,1.7494109897712835
減至,19,19,1.7491934917830645
雙鏡,19,19,1.7485719838280036
請問,12,11,1.7483491975563215
因美國,21,19,1.747786078923987
封裝,22,17,1.7474303425825715
入帳,19,19,1.7468566827493601
頭市場,19,19,1.7468257457918948
一輪,19,15,1.746330739601133
股要,19,19,1.7458614184600745
嚴設,19,17,1.745021751510345
報頭,10,10,1.743788992968282
停火,17,13,1.7421547770576027
大減,21,21,1.7416321279353055
敲定,19,19,1.7415560086142334
收看,18,18,1.741437495914544
股後勢,25,19,1.7412281675699357
起訴,18,12,1.7410588714089181
永豐,22,17,1.7402242963178773
增大,17,17,1.7400586933187125
攻下,21,20,1.7392101584932091
倉口,28,19,1.7390991790747938
增萬張,30,30,1.7379405006892998
十字,18,18,1.7376335419783417
生展,19,16,1.7367359148565868
崩盤,12,9,1.7361122108162386
令人,21,20,1.7358343576671365
收上,18,18,1.734876661989685
歐元區,22,19,1.7342204355459145
蘋果將,20,19,1.7337372509420195
拉尾盤,19,19,1.7331237086435096
過往,18,17,1.7325540027216115
安定,21,16,1.7324817742318244
王淑以,20,20,1.7323103387137833
揭露,20,20,1.7319443952766072
巴西,22,20,1.731936756260204
成衣,20,19,1.7316490494264816
數表現,18,17,1.7313734273430186
攀上,13,11,1.7307743381332519
獨立,21,19,1.7304461256300294
收入,28,18,1.729945317758456
贏家,20,19,1.729492808120003
億餘元,18,10,1.7287854233791717
一中,20,20,1.728436363480525
億技術面,20,20,1.7282825460932396
現類,16,15,1.7279812862034976
