token,tf,df,tf-idf
狹盤,10,9,1.0449336455661506
減幅,12,10,1.0447994021084803
仍無法,11,11,1.0442784919713257
服務大,8,8,1.044257564155791
科聯,9,9,1.044144145810369
叫好,10,10,1.0439193246961571
四成,11,11,1.043541244681184
良維,9,7,1.0431113668008705
光元大購,12,9,1.0428232350059674
電大毅,11,11,1.0425622411285171
十三,13,13,1.042390464421847
入市,12,12,1.0423696784571157
拉尾盤,11,10,1.0421978331929043
遠傳,11,10,1.0420718781174116
整場,10,10,1.0420253700632263
豐售,11,3,1.0419127027738775
商用,13,12,1.041703369097132
試驗,13,13,1.0416932956524583
點市場,10,10,1.0415796659582244
值達,10,10,1.0412463848014912
占率,13,13,1.0407078998850312
股衝,10,10,1.04063306583705
電台灣,11,11,1.040585949105334
台泥亞,10,8,1.0403308523737809
全宇生,12,12,1.0401535843416398
價及,12,12,1.0400113240763724
富邦售,14,5,1.0398945856253663
低台,10,10,1.0396891935938994
中強,10,10,1.0393912507304714
觸及點,9,8,1.0393429677714472
大展,11,11,1.0391433769089256
短中長,11,11,1.0390463151024227
動態,13,11,1.0390329534135723
術面,10,10,1.039017767220397
短天期,12,11,1.0385151346220538
三劍,11,11,1.0381834400357803
天然,11,11,1.0379411706628892
戲碼,10,10,1.0379293383552395
前低,9,8,1.037815506383059
點將,12,11,1.0376012291057972
轉往,12,11,1.0375108334140686
反元,8,8,1.0373793722982367
觀察月,11,11,1.037230002177697
股價維持,9,9,1.037169210787998
艾笛森,10,8,1.0369427688434594
模造,16,8,1.0365822915267753
不怕,10,10,1.0365463355532512
超賣區,12,12,1.036477573159609
失台,11,11,1.0362767630557017
股短,11,11,1.0359479642451002
成則,10,10,1.0358200750712372
看升,11,11,1.0354864322594064
急彈,11,10,1.0354833153343193
高達元,11,11,1.0354057010469424
今高收,12,10,1.034785432409353
黑且,10,10,1.034064647199266
補空,15,15,1.0338777444326268
商回,15,15,1.0338777444326268
仍應,14,13,1.0337874280396309
單降,11,11,1.033247845149145
光受,9,9,1.0330179053072894
桃園,11,11,1.032988039072494
光電大立,9,9,1.0323965844861673
伸科,12,11,1.0319949896419218
篩選外,10,10,1.0318631021267866
簽署,11,11,1.0317903582059433
早晨,11,10,1.0313926560698363
抽離,12,11,1.0312928497063718
投資案,11,10,1.031162787455913
但須,12,12,1.0308995986353933
糾紛,12,10,1.0307617652393668
週四美國,9,9,1.0298169604101008
單淨,10,10,1.0296157307809648
做法,10,10,1.0295870223877135
將釋,11,10,1.0293466521775976
太多,11,11,1.0291898953728225
戰恐,11,10,1.0284535119199363
三強,9,7,1.0283536817650862
穩元,11,11,1.0275743063144123
電與鴻海,12,12,1.0273258528645444
新大毅,10,9,1.0272722306842295
自動,9,8,1.0267471302978832
一光,11,11,1.0266099572964267
將落,10,10,1.0265310572459165
抵制,11,10,1.0261330553170693
兩位,12,12,1.025891655956678
單一,10,8,1.0257103488163497
基調,10,10,1.0256108524551584
修至,11,11,1.0246271839633283
守點,11,11,1.0243433593826106
紛爭,10,10,1.024241050892434
線鴻海,11,11,1.0240880176531786
科因,10,10,1.0239799373551064
暴漲,11,11,1.0238422795774156
四年,13,12,1.0238183398619902
高達點,11,11,1.0234837352562645
兩次,14,12,1.0232731756390543
總體,13,12,1.0228987535446903
加薪,10,6,1.0228599879551676
應對,12,12,1.022418168911972
柱狀體,10,10,1.022103509328503
傳來,9,8,1.022029663927906
國泰購,12,7,1.0209421815298425
計劃,14,14,1.0208485416689375
漢微科,10,9,1.0206626120851583
獨家供,11,10,1.0201176824174103
華南,12,12,1.020100552171082
日商,11,11,1.0197299336121453
洪水,10,9,1.0196815051243182
股華,10,10,1.0195621848325582
外銷訂,14,11,1.0194815355484255
顧問,10,7,1.0193852023901677
早已,11,11,1.0189888987842504
卜蜂,12,12,1.018684733334863
張台,14,12,1.0185918271946746
供過,11,11,1.0185908388770262
股動,10,10,1.0184220045885142
宣示,12,10,1.0182555255927537
惟台,9,8,1.0180425817952243
下點,10,10,1.0178349665697353
各項,11,11,1.0178141684155797
狀體,9,9,1.017591597176555
就會,11,10,1.0173430874875762
多達點,8,4,1.017201815583168
金氧半場,9,9,1.0171192860509888
能量,11,11,1.016796077895014
點日,9,9,1.0165910207093214
上前,10,10,1.0159717188528905
動台,10,10,1.015806911477371
低估,10,10,1.0156512283607457
日連,10,8,1.0153760229724145
罕見,12,12,1.0152804555098798
元國,8,8,1.0148971870165768
和解,13,11,1.0147239215976722
雙位,13,12,1.014570690300564
價強,10,10,1.0145678015840909
衝過,11,11,1.0143715247317775
數也,9,8,1.0143586683809749
幾天,11,11,1.0142884631025402
企圖心,11,11,1.0142104036011814
參議院,11,10,1.0137805806287021
股買,12,12,1.0132737719357054
宇峻,11,11,1.0126813459934745
只會,12,12,1.0125581067398264
週五收,8,8,1.0124845176680424
股宜,11,10,1.012475764383443
週末,10,10,1.0124536090971745
至口台,9,9,1.0118851411506717
太極,11,11,1.0118850959634271
殺出,11,11,1.0110505736530135
將上,12,12,1.010644715974678
房貸,11,9,1.0104974880299795
未解,10,10,1.0103665721241135
股橡膠,10,10,1.0103241660751063
人心,12,12,1.0099032842290003
過分,10,10,1.0098749013252997
創本波,12,12,1.0096862119470458
貶角,10,8,1.0095689086852668
大宗,9,9,1.0094621810056639
線下,11,11,1.0094269087976502
釋放,11,10,1.0094046906678358
光類,11,11,1.0090249371844804
股人氣,10,9,1.0088523007741055
還算,10,10,1.0084468537944307
漲華,10,9,1.0083682225847215
得到,17,15,1.0082554738041283
有續,10,10,1.0077715825859592
燃氣類,10,10,1.007714397448736
同日,10,10,1.0076879824840383
方法,16,11,1.0074682816582101
日收,9,9,1.0074533176085085
由股,10,10,1.0074458648076794
上以,10,9,1.0073867699453345
力麗,11,11,1.0070770136694198
點三大,11,11,1.0068135995805
明晟,9,8,1.0068011890595434
資大賣,10,8,1.006742910517225
股半導體,11,11,1.0061902037598345
南港,13,13,1.005936261041413
股輪漲,11,9,1.005799100707476
侵蝕,11,11,1.0057672349768987
箭靶,10,10,1.0056804095341247
利勤,12,12,1.0048354231688439
既有,12,12,1.0046570479043913
未遭,11,9,1.0042898823862472
直至,12,12,1.0041668707168032
部門,12,12,1.0041493097096788
成群,12,11,1.0041040474107479
狂飆,12,11,1.0039513195942524
購售,29,27,1.00391382205669
感覺,13,11,1.0037681591144774
碼且,12,12,1.003668164034831
強度,11,11,1.0031214600840792
規定,14,14,1.002399695272996
步伐,11,11,1.001801201666643
電電子,10,10,1.001762440729266
點大立光,8,8,1.0015190557597808
上訴,12,7,1.001352792297817
戰台,11,11,1.0013167872910695
發科來,8,8,1.0011692946020767
將展,11,11,1.0009253014785775
高賣,11,10,1.0007959441403147
初估,9,9,1.0003575670043907
畢竟,11,11,0.9997833818892009
分配,12,12,0.9994124560398857
生華科,9,8,0.9993135758900854
猴年,11,9,0.9992632722113607
高階產品,10,10,0.9988812908053427
完畢,11,10,0.9986159629405735
點指數,12,11,0.998497026608137
蔡明翰,10,6,0.9983275092087314
投資氣氛,13,12,0.9982435366139922
未受,10,9,0.9979505640028827
倉多,12,11,0.9979260801932679
淨空單,12,11,0.9974780967298996
加徵關,10,9,0.9973586758873462
上盤,10,10,0.9970308000105684
碩可成,10,9,0.9967000637430825
大田,9,7,0.9966209168139062
管制,12,11,0.9964177074279491
千點,10,8,0.9963433261274003
週三在,10,8,0.996152208788618
兩週,12,12,0.9957538204208134
精選,10,10,0.995719465994269
時台,9,9,0.9956010958180506
退回,9,7,0.9940041390858487
壽險業,12,8,0.9938974330880861
周量,10,4,0.9937381739621888
試圖,10,9,0.9936424492090846
點終,12,12,0.9932745638483822
今收,12,9,0.9931640687897434
知名,13,13,0.9929696446527926
神隆,9,8,0.9929498271821544
主攻,11,11,0.992471090659848
並有,10,10,0.9921253979584064
君耀,9,8,0.9920745866375507
鏈營,11,11,0.9918765884561951
東聯,11,10,0.9918612838128718
相互,9,9,0.9918308886912023
鋼市,11,11,0.9918301467216838
監會,11,11,0.9917189768827779
重台,10,10,0.9915952994305529
電子展,10,9,0.9915578707380328
四個,10,9,0.9915031159345147
僅以,12,12,0.9914991628400759
地雷,11,9,0.9914528491082886
週起,9,9,0.9913336514553439
剩個,10,9,0.9910662376158708
元大立光,8,8,0.9906955295520643
股價小漲,9,8,0.9905218899000063
