token,tf,df,tf-idf
利益,38,27,2.342876057517804
在外,33,31,2.3411055502345213
股權,43,21,2.3361892581840324
值新,29,29,2.3346123909350243
股為,24,13,2.3289405711823012
有限,38,30,2.3285823903322704
記者,42,30,2.319549601968907
歐洲,36,22,2.3195183021820047
價格,45,36,2.3178064223409796
發科,46,35,2.3133023174895158
傳統,41,33,2.309606893897921
主管,47,31,2.301228192759757
預算,31,12,2.2971225862974314
地位,42,30,2.2945416055341736
封裝,33,25,2.2824699378733913
到點,33,25,2.281488871453683
熱門,35,25,2.2811524639316856
順利,33,29,2.275391198109141
國家,57,37,2.2739283607216247
廠商,48,36,2.2678042611815665
截至,32,29,2.2600199150783693
上周五,34,23,2.2587044434193033
弱勢,38,30,2.257898755998557
法說,34,27,2.251370070330568
收斂,33,24,2.2449942731092674
建議,44,32,2.244535529149178
行政院,46,31,2.2438978456669503
電奈,35,31,2.2420719120439134
萬片,35,25,2.2314306318623838
傳出,40,30,2.2271189944067715
不到,36,28,2.2240593657761134
有望,32,28,2.2229689395576764
精材,29,5,2.217251390870782
億萬元,28,9,2.214181931811024
提出,49,36,2.205203667082031
陸續,42,33,2.192619946533343
拉高,36,30,2.1903234372345146
交大,30,9,2.186709356295693
至元,29,26,2.1849515175076166
重量,39,32,2.184252621150803
營業,34,29,2.1813407067022252
多方,26,21,2.1794929853133973
還原,26,21,2.1771872435094446
結算,34,26,2.1733452265676507
短期,38,30,2.172905745756781
聯網,39,28,2.1691880625759787
定案,31,25,2.1621951847959107
不能,36,26,2.1579308448324603
收元,28,21,2.1561623707793265
開放,56,21,2.154261545377208
股台,33,30,2.1536497938205006
機率,37,30,2.1517531864312347
觀望,32,24,2.149185077601324
單季,30,17,2.1491787249325705
一年,38,26,2.1419973279616467
結果,35,32,2.133102584169521
鴻海,33,22,2.1321004789656275
服務,46,31,2.121149217930298
回檔,30,26,2.1207433873490356
歐美,33,29,2.1204601136495187
聯電,34,28,2.1191503548204795
使用,42,30,2.115627758223223
業界,47,39,2.1133831966580425
速度,34,24,2.1129000322250935
避險,32,17,2.1119837070344594
獲得,49,34,2.1045111689852365
高階,35,25,2.10239012458568
轉型,45,21,2.100577320892945
面上,32,27,2.0991755281987423
建置,31,26,2.0983064001631844
南科,39,17,2.0981554285438615
當天,20,18,2.0976754134349256
貢獻,36,30,2.096315602570665
連結台,35,27,2.094191590476901
食品,31,29,2.092994880511789
富邦,32,28,2.0909784652633867
工研院,53,19,2.0902853698298185
確定,35,31,2.0891267064657684
更是,39,32,2.088642086029097
再次,32,23,2.078022282810693
重新,32,27,2.0776568022195603
賣超,25,20,2.0766759075058885
逾點,29,21,2.076215393966024
變化,34,32,2.0705061301810272
跌停,26,18,2.070452583127375
穩定,38,36,2.0689411983281656
累計,30,27,2.063682075680661
刷新,25,22,2.06189881438048
改變,39,25,2.0613718665549485
檢測,37,15,2.0609823252120982
只有,38,32,2.0609463030791715
上季,30,22,2.0598256658251755
不斷,37,32,2.059359549875244
上揚,26,24,2.0551496293336924
功能,32,30,2.052667568803345
繼續,40,34,2.0519897407655554
情況,39,35,2.0508425417762592
即將,34,27,2.0428213415055896
至點,29,19,2.0395405149317334
李世光,22,7,2.0376720991212296
銀行,44,23,2.0335969113106303
空間,34,29,2.0303252404954164
修正,33,27,2.025687258493108
每年,40,28,2.0203925778390954
說會,29,26,2.0179734828156377
配息,25,13,2.0159735424301504
新機,29,26,2.0142134475786344
盤勢,32,27,2.0097481314175214
交投,36,18,2.008963808344254
